puzzle_id	x	y
0	-0.85	0.3633
0	-0.8467	-0.9967
0	0.9967	-0.9967
0	0.9967	0.19
0	-1.0	0.3933
0	-1.0	-0.9967
0	-0.8467	-0.9967
0	-0.85	0.3633
0	-0.8733	1.0
0	-0.85	0.3633
0	0.9967	0.19
0	0.9967	1.0
0	-1.0	1.0
0	-1.0	0.3933
0	-0.85	0.3633
0	-0.8733	1.0
1	-0.3933	-0.2267
1	-0.2667	-0.9967
1	0.9967	-0.9967
1	0.9967	-0.5233
1	-1.0	-0.08
1	-1.0	-0.9967
1	-0.2667	-0.9967
1	-0.3933	-0.2267
1	-0.63	1.0
1	-0.3933	-0.2267
1	0.9967	-0.5233
1	0.9967	1.0
1	-1.0	1.0
1	-1.0	-0.08
1	-0.3933	-0.2267
1	-0.63	1.0
2	-0.6267	-0.9967
2	0.9967	-0.9967
2	0.9967	-0.6433
2	-0.54	-0.5167
2	-1.0	-0.46
2	-1.0	-0.9967
2	-0.6267	-0.9967
2	-0.54	-0.5167
2	-0.32	1.0
2	-0.54	-0.5167
2	0.9967	-0.6433
2	0.9967	1.0
2	-1.0	1.0
2	-1.0	-0.46
2	-0.54	-0.5167
2	-0.32	1.0
3	-0.06	-0.3767
3	-0.1567	-0.9967
3	0.9967	-0.9967
3	0.9967	-0.49
3	-1.0	-0.2433
3	-1.0	-0.9967
3	-0.1567	-0.9967
3	-0.06	-0.3767
3	0.1167	1.0
3	-0.06	-0.3767
3	0.9967	-0.49
3	0.9967	1.0
3	-1.0	1.0
3	-1.0	-0.2433
3	-0.06	-0.3767
3	0.1167	1.0
4	0.81	-0.9967
4	0.1433	0.28
4	-1.0	-0.4567
4	-1.0	-0.9967
4	0.9967	0.86
4	0.1433	0.28
4	0.81	-0.9967
4	0.9967	-0.9967
4	-0.2267	1.0
4	0.1433	0.28
4	0.9967	0.86
4	0.9967	1.0
4	-0.2267	1.0
4	-1.0	1.0
4	-1.0	-0.4567
4	0.1433	0.28
5	0.9167	0.68
5	-1.0	-0.59
5	-1.0	-0.9967
5	0.7733	-0.9967
5	0.9967	0.7333
5	0.9967	0.7333
5	0.7733	-0.9967
5	0.9967	-0.9967
5	0.9967	1.0
5	0.9967	1.0
5	0.9967	0.7333
5	0.9967	0.7333
5	-1.0	-0.59
5	0.9167	0.68
5	0.9967	1.0
5	-1.0	1.0
6	-0.4667	0.7167
6	0.7467	-0.9967
6	0.9967	-0.9967
6	0.9967	0.5367
6	-1.0	0.8
6	-1.0	-0.9967
6	0.7467	-0.9967
6	-0.4667	0.7167
6	-0.6867	1.0
6	-0.4667	0.7167
6	0.9967	0.5367
6	0.9967	1.0
6	-1.0	1.0
6	-1.0	0.8
6	-0.4667	0.7167
6	-0.6867	1.0
7	-0.4667	-0.9967
7	0.9967	-0.9967
7	0.9967	-0.77
7	0.0533	-0.1033
7	-1.0	0.6733
7	-1.0	-0.9967
7	-0.4667	-0.9967
7	0.0533	-0.1033
7	0.6667	1.0
7	0.0533	-0.1033
7	0.9967	-0.77
7	0.9967	1.0
7	-1.0	0.6733
7	0.0533	-0.1033
7	0.6667	1.0
7	-1.0	1.0
8	-0.77	-0.72
8	-1.0	-0.7233
8	-1.0	-0.9967
8	-0.8	-0.9967
8	0.9967	-0.5767
8	-0.77	-0.72
8	-0.8	-0.9967
8	0.9967	-0.9967
8	-0.51	1.0
8	-0.77	-0.72
8	0.9967	-0.5767
8	0.9967	1.0
8	-0.51	1.0
8	-1.0	1.0
8	-1.0	-0.7233
8	-0.77	-0.72
9	0.8567	-0.9967
9	0.2333	0.1067
9	-1.0	-0.8933
9	-1.0	-0.9967
9	0.9967	0.7567
9	0.2333	0.1067
9	0.8567	-0.9967
9	0.9967	-0.9967
9	-0.2633	1.0
9	0.2333	0.1067
9	0.9967	0.7567
9	0.9967	1.0
9	-0.2633	1.0
9	-1.0	1.0
9	-1.0	-0.8933
9	0.2333	0.1067
10	-0.0367	-0.0167
10	-1.0	-0.8633
10	-1.0	-0.9967
10	-0.3833	-0.9967
10	0.9967	0.93
10	-0.0367	-0.0167
10	-0.3833	-0.9967
10	0.9967	-0.9967
10	0.9967	0.93
10	0.3367	1.0
10	-0.0367	-0.0167
10	0.9967	0.93
10	0.3367	1.0
10	-1.0	1.0
10	-1.0	-0.8633
10	-0.0367	-0.0167
11	0.32	0.4733
11	0.2833	-0.9967
11	0.9967	-0.9967
11	0.9967	0.4233
11	-1.0	0.61
11	-1.0	-0.9967
11	0.2833	-0.9967
11	0.32	0.4733
11	0.3167	1.0
11	0.32	0.4733
11	0.9967	0.4233
11	0.9967	1.0
11	-1.0	1.0
11	-1.0	0.61
11	0.32	0.4733
11	0.3167	1.0
12	0.57	-0.9967
12	0.53	-0.74
12	-1.0	-0.94
12	-1.0	-0.94
12	0.9967	-0.6667
12	0.53	-0.74
12	0.57	-0.9967
12	0.9967	-0.9967
12	0.3567	1.0
12	0.53	-0.74
12	0.9967	-0.6667
12	0.9967	1.0
12	-1.0	1.0
12	-1.0	-0.94
12	0.53	-0.74
12	0.3567	1.0
13	0.2567	-0.4267
13	0.3933	-0.9967
13	0.9967	-0.9967
13	0.9967	-0.5767
13	-1.0	-0.1367
13	-1.0	-0.9967
13	0.3933	-0.9967
13	0.2567	-0.4267
13	-0.1267	1.0
13	0.2567	-0.4267
13	0.9967	-0.5767
13	0.9967	1.0
13	-1.0	1.0
13	-1.0	-0.1367
13	0.2567	-0.4267
13	-0.1267	1.0
14	0.75	-0.09
